area,district,property_type,price,listing_type,price_ty
65.0,Huyện Đông Anh,nha_pho,7250000000,ban,7.25
60.7999,Quận Cầu Giấy,nha_pho,27888666000,ban,27.888666
42.0,Quận Hai Bà Trưng,nha_pho,11500000000,ban,11.5
55.0,Quận Long Biên,nha_pho,12500000000,ban,12.5
148.0,Quận Long Biên,biet_thu,38000000000,ban,38.0
60.0,Quận Long Biên,nha_pho,13600000000,ban,13.6
70.0,Quận Long Biên,nha_pho,16800000000,ban,16.8
25.0,Quận Hà Đông,nha_pho,6500000000,ban,6.5
33.0,Quận Nam Từ Liêm,nha_pho,8400000000,ban,8.4
27.0,Quận Hai Bà Trưng,nha_pho,6150000000,ban,6.15
50.0,Quận Đống Đa,nha_pho,9500000000,ban,9.5
40.0,Quận Hoàng Mai,nha_pho,8900000000,ban,8.9
75.0,Quận Hoàng Mai,nha_pho,15900000000,ban,15.9
34.0,Quận Nam Từ Liêm,nha_pho,8100000000,ban,8.1
55.0,Quận Hà Đông,nha_pho,8600000000,ban,8.6
88.0,Quận Long Biên,nha_pho,20600000000,ban,20.6
63.0,Quận Hà Đông,nha_pho,17000000000,ban,17.0
58.0,Quận Thanh Xuân,nha_pho,11120000000,ban,11.12
50.0,Quận Thanh Xuân,nha_pho,10900000000,ban,10.9
45.0,Quận Hoàng Mai,nha_pho,11750000000,ban,11.75
75.0,Quận Ba Đình,nha_pho,48500000000,ban,48.5
55.0,Huyện Thanh Trì,nha_pho,650000000,ban,0.65
50.0,Quận Thanh Xuân,nha_pho,18250000000,ban,18.25
36.0,Quận Hoàng Mai,nha_pho,8810000000,ban,8.81
48.0,Quận Thanh Xuân,nha_pho,20650000000,ban,20.65
45.0,Quận Thanh Xuân,nha_pho,11000000000,ban,11.0
32.0,Quận Long Biên,nha_pho,6600000000,ban,6.6
30.0,Quận Cầu Giấy,nha_pho,8100000000,ban,8.1
41.0,Quận Thanh Xuân,nha_pho,10000000000,ban,10.0
42.0,Quận Long Biên,nha_pho,9000000000,ban,9.0
47.0,Quận Ba Đình,nha_pho,12950000000,ban,12.95
50.0,Quận Hai Bà Trưng,nha_pho,15950000000,ban,15.95
73.0,Quận Cầu Giấy,nha_pho,48900000000,ban,48.9
20.0,Quận Thanh Xuân,nha_pho,5600000000,ban,5.6
50.0,Quận Hà Đông,nha_pho,8500000000,ban,8.5
34.0,Quận Hà Đông,nha_pho,5300000000,ban,5.3
41.0,Quận Hoàng Mai,nha_pho,17500000000,ban,17.5
44.0,Quận Hà Đông,nha_pho,13900000000,ban,13.9
98.0,Quận Hà Đông,nha_pho,36000000000,ban,36.0
50.0,Quận Long Biên,nha_pho,12800000000,ban,12.8
68.0,Quận Long Biên,nha_pho,10800000000,ban,10.8
37.0,Quận Nam Từ Liêm,nha_pho,6390000000,ban,6.39
56.0,Quận Long Biên,nha_pho,12000000000,ban,12.0
50.0,Quận Hoàng Mai,nha_pho,19400000000,ban,19.4
24.0,Quận Đống Đa,nha_pho,4380000000,ban,4.38
48.0,Quận Long Biên,nha_pho,8500000000,ban,8.5
40.0,Quận Cầu Giấy,nha_pho,14000000000,ban,14.0
58.0,Quận Hà Đông,nha_pho,8686000000,ban,8.686
47.0,Quận Hai Bà Trưng,nha_pho,15800000000,ban,15.8
66.0,Quận Long Biên,nha_pho,17600000000,ban,17.6
33.0,Quận Thanh Xuân,nha_pho,7900000000,ban,7.9
40.0,Quận Bắc Từ Liêm,nha_pho,12500000000,ban,12.5
66.5,Quận Cầu Giấy,nha_pho,20300000000,ban,20.3
50.0,Quận Hai Bà Trưng,nha_pho,11300000000,ban,11.3
65.1998,Quận Hoàng Mai,nha_pho,9700000000,ban,9.7
50.0,Quận Long Biên,nha_pho,13800000000,ban,13.8
40.0,Quận Bắc Từ Liêm,nha_pho,8000000000,ban,8.0
34.0,Quận Hà Đông,nha_pho,5500000000,ban,5.5
65.0,Quận Hai Bà Trưng,nha_pho,40500000000,ban,40.5
40.0,Quận Long Biên,nha_pho,11500000000,ban,11.5
146.0,Quận Bắc Từ Liêm,nha_pho,40000000000,ban,40.0
35.0,Quận Long Biên,nha_pho,9000000000,ban,9.0
39.0,Quận Long Biên,nha_pho,8300000000,ban,8.3
87.0,Huyện Hoài Đức,nha_pho,6200000000,ban,6.2
46.0,Quận Long Biên,nha_pho,8500000000,ban,8.5
58.5,Huyện Thanh Oai,nha_pho,5600000000,ban,5.6
32.0,Quận Cầu Giấy,nha_pho,8100000000,ban,8.1
37.0,Quận Hoàng Mai,nha_pho,9600000000,ban,9.6
25.0,Quận Hai Bà Trưng,nha_pho,6200000000,ban,6.2
35.0,Huyện Gia Lâm,nha_pho,5800000000,ban,5.8
50.0,Quận Long Biên,nha_pho,11800000000,ban,11.8
45.0,Quận Nam Từ Liêm,nha_pho,9200000000,ban,9.2
50.0,Quận Long Biên,nha_pho,12000000000,ban,12.0
35.0,Quận Long Biên,nha_pho,5900000000,ban,5.9
55.0,Quận Nam Từ Liêm,nha_pho,12500000000,ban,12.5
70.0,Quận Nam Từ Liêm,nha_pho,8600000000,ban,8.6
65.0,Quận Long Biên,nha_pho,13600000000,ban,13.6
20.0,Quận Hai Bà Trưng,nha_pho,5000000000,ban,5.0
33.0,Huyện Thanh Oai,nha_pho,3100000000,ban,3.1
900.0,Huyện Sóc Sơn,nha_pho,17000000000,ban,17.0
368.0,Huyện Sóc Sơn,dat,1600000000,ban,1.6
45.0,Quận Hai Bà Trưng,nha_pho,12000000000,ban,12.0
41.0,Huyện Phúc Thọ,dat,1450000000,ban,1.45
37.0,Huyện Thanh Trì,dat,4500000000,ban,4.5
56.0,Huyện Đông Anh,nha_pho,3750000000,ban,3.75
98.1998,Huyện Chương Mỹ,dat,2650000000,ban,2.65
129.0,Huyện Sóc Sơn,nha_pho,2600000000,ban,2.6
60.0,Quận Bắc Từ Liêm,dat,11800000000,ban,11.8
80.0,Huyện Thường Tín,dat,4300000000,ban,4.3
116.0,Huyện Đông Anh,dat,6800000000,ban,6.8
95.0,Huyện Gia Lâm,dat,7050000000,ban,7.05
45.0999,Huyện Gia Lâm,dat,9200000000,ban,9.2
539.0,Huyện Ba Vì,dat,5300000000,ban,5.3
950.0,Huyện Ba Vì,dat,12500000000,ban,12.5
55.0,Quận Long Biên,dat,12000000000,ban,12.0
68.0,Huyện Phúc Thọ,dat,2210000000,ban,2.21
506.0,Thị xã Sơn Tây,biet_thu,3700000000,ban,3.7
58.0,Huyện Mê Linh,dat,1500000000,ban,1.5
48.0,Quận Hà Đông,dat,9000000000,ban,9.0
78.4,Huyện Thanh Oai,dat,9000000000,ban,9.0
32.0,Quận Nam Từ Liêm,dat,5290000000,ban,5.29
80.0,Huyện Đông Anh,dat,5200000000,ban,5.2
100.0,Huyện Quốc Oai,nha_pho,2400000000,ban,2.4
106.0,Huyện Đông Anh,nha_pho,10550000000,ban,10.55
50.0,Quận Long Biên,dat,10500000000,ban,10.5
40.0,Quận Bắc Từ Liêm,dat,4700000000,ban,4.7
124.0,Huyện Thạch Thất,dat,3120000000,ban,3.12
100.0,Huyện Quốc Oai,nha_pho,2900000000,ban,2.9
41.0,Quận Hà Đông,dat,2920000000,ban,2.92
386.0,Huyện Sóc Sơn,dat,1700000000,ban,1.7
84.0,Huyện Thanh Trì,dat,12900000000,ban,12.9
82.0,Huyện Thường Tín,dat,5700000000,ban,5.7
45.0,Huyện Gia Lâm,dat,3600000000,ban,3.6
37.5,Huyện Thanh Trì,dat,4600000000,ban,4.6
81.0,Quận Long Biên,dat,13900000000,ban,13.9
80.0,Quận Long Biên,nha_pho,21900000000,ban,21.9
150.0,Quận Hà Đông,biet_thu,5400000000,ban,5.4
70.0,Huyện Sóc Sơn,dat,3600000000,ban,3.6
126.0,Huyện Sóc Sơn,dat,2500000000,ban,2.5
100.0,Huyện Sóc Sơn,dat,1111150000,ban,1.11115
37.0,Quận Long Biên,dat,5800000000,ban,5.8
67.1999,Huyện Đông Anh,dat,3800000000,ban,3.8
95.0,Huyện Hoài Đức,dat,6300000000,ban,6.3
81.0,Huyện Thường Tín,dat,5550000000,ban,5.55
46.0,Quận Long Biên,dat,4300000000,ban,4.3
40.0,Quận Bắc Từ Liêm,dat,4600000000,ban,4.6
62.2999,Huyện Chương Mỹ,dat,2300000000,ban,2.3
46.0,Quận Long Biên,dat,4300000000,ban,4.3
62.5,Huyện Đông Anh,dat,5750000000,ban,5.75
818.0,Huyện Mỹ Đức,nha_pho,1200000000,ban,1.2
85.0,Huyện Quốc Oai,dat,5150000000,ban,5.15
57.0,Quận Tây Hồ,dat,12900000000,ban,12.9
61.5,Huyện Thạch Thất,nha_pho,1750000000,ban,1.75
50.0,Quận Hà Đông,dat,15500000000,ban,15.5
300.0,Quận Bắc Từ Liêm,nha_pho,750000000,ban,0.75
35.0,Huyện Thanh Trì,nha_pho,3850000000,ban,3.85
107.0,Quận Hoàng Mai,dat,32000000000,ban,32.0
2300.0,Huyện Thạch Thất,dat,18500000000,ban,18.5
104.0,Huyện Đông Anh,dat,6500000000,ban,6.5
100.0,Huyện Quốc Oai,dat,3947831325,ban,3.947831325
41.0,Huyện Đông Anh,dat,2880000000,ban,2.88
61.0,Huyện Gia Lâm,dat,5600000000,ban,5.6
115.0,Huyện Sóc Sơn,nha_pho,3500000000,ban,3.5
60.0,Huyện Thanh Trì,nha_pho,4700000000,ban,4.7
80.0,Huyện Chương Mỹ,nha_pho,1400000000,ban,1.4
78.0,Huyện Sóc Sơn,nha_pho,2150000000,ban,2.15
60.0,Huyện Sóc Sơn,dat,2600000000,ban,2.6
56.0,Huyện Đông Anh,dat,4100000000,ban,4.1
86.0,Huyện Chương Mỹ,dat,1400000000,ban,1.4
166.0,Quận Long Biên,dat,24000000000,ban,24.0
100.0,Huyện Thường Tín,dat,700000000,ban,0.7
74.0,Quận Hà Đông,dat,9900000000,ban,9.9
66.0,Quận Hai Bà Trưng,dat,11880000000,ban,11.88
125.0,Huyện Ba Vì,dat,1750000000,ban,1.75
76.0,Huyện Chương Mỹ,nha_pho,3500000000,ban,3.5
86.0,Huyện Chương Mỹ,dat,1368000000,ban,1.368
60.7999,Huyện Thanh Trì,dat,7200000000,ban,7.2
56.0,Huyện Mê Linh,nha_pho,2500000000,ban,2.5
58.0,Huyện Mê Linh,dat,3500000000,ban,3.5
120.0,Huyện Đông Anh,dat,9000000000,ban,9.0
100.0,Huyện Quốc Oai,dat,2300000000,ban,2.3
60.0,Huyện Thạch Thất,nha_pho,1680000000,ban,1.68
240.0,Huyện Thanh Oai,dat,13400000000,ban,13.4
60.0,Thị xã Sơn Tây,dat,2050000000,ban,2.05
70.0,Thị xã Sơn Tây,nha_pho,1200000000,ban,1.2
98.0,Huyện Đông Anh,dat,10800000000,ban,10.8
100.0,Huyện Thạch Thất,nha_pho,4300000000,ban,4.3
574.0,Quận Ba Đình,dat,220000000000,ban,220.0
36.0,Quận Long Biên,dat,6200000000,ban,6.2
115.0,Huyện Đông Anh,nha_pho,8000000000,ban,8.0
88.0,Huyện Chương Mỹ,dat,1650000000,ban,1.65
40.0,Huyện Thanh Trì,dat,2500000000,ban,2.5
43.0,Quận Nam Từ Liêm,dat,6500000000,ban,6.5
33.0,Quận Nam Từ Liêm,dat,6200000000,ban,6.2
37.0,Quận Nam Từ Liêm,dat,6000000000,ban,6.0
90.0,Quận Tây Hồ,dat,25500000000,ban,25.5
100.0,Huyện Thạch Thất,dat,2000000000,ban,2.0
110.0,Huyện Quốc Oai,dat,2475000000,ban,2.475
50.0,Quận Hoàng Mai,nha_pho,8000000000,ban,8.0
50.0,Quận Hoàng Mai,nha_pho,11200000000,ban,11.2
50.0,Quận Ba Đình,nha_pho,6900000000,ban,6.9
35.0,Quận Long Biên,nha_pho,6500000000,ban,6.5
31.0,Quận Hà Đông,nha_pho,6800000000,ban,6.8
50.0,Quận Hoàng Mai,nha_pho,11350000000,ban,11.35
50.0,Quận Hoàng Mai,nha_pho,11200000000,ban,11.2
33.0,Quận Hai Bà Trưng,nha_pho,7300000000,ban,7.3
35.0,Quận Hai Bà Trưng,nha_pho,8350000000,ban,8.35
222.0,Quận Bắc Từ Liêm,nha_pho,78000000000,ban,78.0
50.0,Quận Hoàng Mai,nha_pho,11680000000,ban,11.68
79.5,Quận Hà Đông,nha_pho,33000000000,ban,33.0
40.0,Quận Hoàng Mai,nha_pho,19500000000,ban,19.5
30.0,Quận Thanh Xuân,nha_pho,2050000000,ban,2.05
25.0,Quận Hai Bà Trưng,nha_pho,6600000000,ban,6.6
21.0,Quận Hai Bà Trưng,nha_pho,6200000000,ban,6.2
19.0,Quận Hoàng Mai,nha_pho,2260000000,ban,2.26
100.0,Quận Ba Đình,nha_pho,5200000000,ban,5.2
76.0,Quận Nam Từ Liêm,nha_pho,4600000000,ban,4.6
51.0,Quận Hai Bà Trưng,nha_pho,10800000000,ban,10.8
36.0,Quận Hoàng Mai,nha_pho,7800000000,ban,7.8
32.0,Huyện Hoài Đức,nha_pho,3800000000,ban,3.8
31.0,Quận Hoàng Mai,nha_pho,7300000000,ban,7.3
30.0,Quận Hoàng Mai,nha_pho,6000000000,ban,6.0
35.0,Huyện Thanh Trì,nha_pho,2000000000,ban,2.0
55.0,Quận Thanh Xuân,nha_pho,12000000000,ban,12.0
35.0,Quận Hà Đông,nha_pho,5600000000,ban,5.6
50.0,Quận Hoàng Mai,nha_pho,11600000000,ban,11.6
50.0,Quận Hoàng Mai,nha_pho,13500000000,ban,13.5
50.0,Quận Long Biên,nha_pho,11000000000,ban,11.0
60.0,Quận Hoàng Mai,nha_pho,15450000000,ban,15.45
25.0,Quận Đống Đa,nha_pho,5600000000,ban,5.6
31.0,Quận Hoàng Mai,nha_pho,6000000000,ban,6.0
120.0,Quận Bắc Từ Liêm,nha_pho,36000000000,ban,36.0
48.0,Quận Long Biên,nha_pho,10000000000,ban,10.0
55.0,Quận Đống Đa,nha_pho,12000000000,ban,12.0
42.0,Quận Ba Đình,nha_pho,17300000000,ban,17.3
22.0,Quận Thanh Xuân,nha_pho,7500000000,ban,7.5
40.0,Quận Hà Đông,nha_pho,10600000000,ban,10.6
35.0,Quận Long Biên,nha_pho,10000000000,ban,10.0
35.0,Quận Đống Đa,nha_pho,9000000000,ban,9.0
68.0,Quận Long Biên,dat,16000000000,ban,16.0
48.0,Quận Thanh Xuân,nha_pho,11000000000,ban,11.0
41.0,Huyện Đông Anh,nha_pho,3750000000,ban,3.75
40.0,Quận Hà Đông,nha_pho,5600000000,ban,5.6
189.0,Quận Bắc Từ Liêm,biet_thu,24000000000,ban,24.0
35.0,Quận Hoàng Mai,dat,10000000000,ban,10.0
45.0,Quận Thanh Xuân,nha_pho,12700000000,ban,12.7
19.0,Quận Thanh Xuân,nha_pho,5000000000,ban,5.0
54.0,Quận Hoàng Mai,nha_pho,33000000000,ban,33.0
35.0,Quận Hoàn Kiếm,nha_pho,10900000000,ban,10.9
32.0,Huyện Thanh Oai,nha_pho,4550000000,ban,4.55
33.0,Quận Cầu Giấy,nha_pho,7980000000,ban,7.98
52.0,Quận Nam Từ Liêm,nha_pho,12600000000,ban,12.6
40.0,Quận Long Biên,nha_pho,7000000000,ban,7.0
58.0,Quận Hai Bà Trưng,nha_pho,10990000000,ban,10.99
55.0,Quận Long Biên,nha_pho,25000000000,ban,25.0
134.5,Quận Đống Đa,nha_pho,130000000000,ban,130.0
120.0,Quận Đống Đa,nha_pho,34900000000,ban,34.9
41.0,Quận Đống Đa,nha_pho,9200000000,ban,9.2
49.0,Quận Hoàng Mai,nha_pho,4900000000,ban,4.9
38.0,Quận Hoàng Mai,nha_pho,12000000000,ban,12.0
37.4,Quận Tây Hồ,nha_pho,8700000000,ban,8.7
45.0,Quận Hà Đông,nha_pho,3750000000,ban,3.75
60.0,Quận Long Biên,nha_pho,21000000000,ban,21.0
39.0,Quận Thanh Xuân,nha_pho,7700000000,ban,7.7
40.0,Huyện Thanh Oai,nha_pho,4000000000,ban,4.0
20.0,Quận Hai Bà Trưng,nha_pho,5350000000,ban,5.35
24.0,Quận Hoàng Mai,nha_pho,6900000000,ban,6.9
40.0,Quận Hoàng Mai,nha_pho,9600000000,ban,9.6
135.0,Huyện Đông Anh,biet_thu,33750000000,ban,33.75
50.0,Quận Long Biên,nha_pho,9000000000,ban,9.0
33.0,Quận Hai Bà Trưng,nha_pho,6900000000,ban,6.9
28.0,Quận Hai Bà Trưng,nha_pho,8200000000,ban,8.2
38.0,Quận Hà Đông,nha_pho,9450000000,ban,9.45
42.0,Quận Long Biên,nha_pho,9100000000,ban,9.1
32.0,Quận Hai Bà Trưng,nha_pho,10999999999,ban,10.999999999
40.0,Quận Thanh Xuân,nha_pho,7500000000,ban,7.5
25.0,Quận Hai Bà Trưng,nha_pho,6100000000,ban,6.1
82.0,Quận Hai Bà Trưng,nha_pho,15500000000,ban,15.5
31.5,Quận Đống Đa,nha_pho,9500000000,ban,9.5
60.0,Quận Đống Đa,nha_pho,11450000000,ban,11.45
100.0,Quận Hai Bà Trưng,nha_pho,25400000000,ban,25.4
54.0,Quận Đống Đa,nha_pho,15600000000,ban,15.6
34.0,Huyện Hoài Đức,nha_pho,5250000000,ban,5.25
46.0,Quận Hà Đông,nha_pho,5600000000,ban,5.6
33.0,Quận Long Biên,nha_pho,8300000000,ban,8.3
55.0,Quận Long Biên,nha_pho,14900000000,ban,14.9
33.0,Quận Hoàng Mai,nha_pho,6500000000,ban,6.5
34.0,Quận Long Biên,nha_pho,14750000000,ban,14.75
160.0,Quận Hoàng Mai,nha_pho,46000000000,ban,46.0
24.0,Quận Thanh Xuân,nha_pho,6900000000,ban,6.9
55.0,Quận Long Biên,nha_pho,12600000000,ban,12.6
170.5,Huyện Hoài Đức,nha_pho,1000000000,ban,1.0
33.0,Quận Hà Đông,nha_pho,8000000000,ban,8.0
106.0,Quận Long Biên,nha_pho,12200000000,ban,12.2
45.0,Quận Hai Bà Trưng,nha_pho,8200000000,ban,8.2
35.0,Quận Long Biên,nha_pho,11800000000,ban,11.8
50.0,Quận Hà Đông,nha_pho,9800000000,ban,9.8
38.0,Quận Long Biên,nha_pho,11800000000,ban,11.8
30.0,Quận Long Biên,nha_pho,6300000000,ban,6.3
50.0,Quận Long Biên,nha_pho,10500000000,ban,10.5
50.0,Quận Long Biên,nha_pho,11000000000,ban,11.0
50.0,Quận Nam Từ Liêm,nha_pho,13200000000,ban,13.2
52.0,Quận Long Biên,nha_pho,14000000000,ban,14.0
45.0,Quận Nam Từ Liêm,nha_pho,13800000000,ban,13.8
66.0,Quận Bắc Từ Liêm,chung_cu,9800000000,ban,9.8
210.0,Quận Long Biên,nha_pho,69000000000,ban,69.0
40.0,Quận Hà Đông,nha_pho,7600000000,ban,7.6
34.0,Quận Hà Đông,nha_pho,3600000000,ban,3.6
60.0,Quận Long Biên,nha_pho,10000000000,ban,10.0
36.0,Quận Đống Đa,nha_pho,9500000000,ban,9.5
50.0,Quận Hoàng Mai,nha_pho,11500000000,ban,11.5
45.0,Quận Hai Bà Trưng,nha_pho,12500000000,ban,12.5
32.7999,Quận Hai Bà Trưng,nha_pho,7400000000,ban,7.4
35.0,Quận Long Biên,nha_pho,6000000000,ban,6.0
73.0,Quận Tây Hồ,nha_pho,25900000000,ban,25.9
62.0,Quận Đống Đa,chung_cu,10800000000,ban,10.8
26.0,Quận Đống Đa,nha_pho,5150000000,ban,5.15
55.0,Quận Hai Bà Trưng,nha_pho,9100000000,ban,9.1
240.0,Quận Thanh Xuân,biet_thu,88000000000,ban,88.0
38.0,Quận Long Biên,nha_pho,6000000000,ban,6.0
150.0,Quận Tây Hồ,nha_pho,150000000000,ban,150.0
588.0,Huyện Chương Mỹ,nha_pho,10584000000,ban,10.584
49.0,Quận Đống Đa,nha_pho,9300000000,ban,9.3
40.0,Quận Long Biên,nha_pho,7000000000,ban,7.0
32.0,Huyện Hoài Đức,nha_pho,5900000000,ban,5.9
65.0,Quận Thanh Xuân,chung_cu,11000000000,ban,11.0
47.0,Quận Cầu Giấy,nha_pho,15000000000,ban,15.0
40.0,Quận Thanh Xuân,nha_pho,6900000000,ban,6.9
31.0,Quận Hoàng Mai,nha_pho,6666666666,ban,6.666666666
29.0,Quận Đống Đa,nha_pho,5250000000,ban,5.25
37.0,Quận Thanh Xuân,nha_pho,7000000000,ban,7.0
35.0,Quận Hoàng Mai,nha_pho,8990000000,ban,8.99
102.0,Quận Cầu Giấy,nha_pho,53500000000,ban,53.5
30.8999,Huyện Thanh Oai,nha_pho,2700000000,ban,2.7
58.0,Quận Tây Hồ,nha_pho,15300000000,ban,15.3
44.0,Quận Long Biên,nha_pho,9500000000,ban,9.5
45.0,Quận Thanh Xuân,nha_pho,8960000000,ban,8.96
71.9,Quận Đống Đa,nha_pho,23500000000,ban,23.5
35.0,Quận Hà Đông,nha_pho,5999999999,ban,5.999999999
40.0,Quận Tây Hồ,nha_pho,10000000000,ban,10.0
32.0,Quận Nam Từ Liêm,nha_pho,8395000000,ban,8.395
38.0,Quận Nam Từ Liêm,nha_pho,8200000000,ban,8.2
40.0999,Huyện Gia Lâm,nha_pho,6300000000,ban,6.3
42.0,Quận Đống Đa,nha_pho,7900000000,ban,7.9
33.7,Quận Hà Đông,nha_pho,6000000000,ban,6.0
46.0,Quận Hai Bà Trưng,nha_pho,9000000000,ban,9.0
45.0,Quận Thanh Xuân,nha_pho,8500000000,ban,8.5
37.0,Quận Long Biên,nha_pho,7450000000,ban,7.45
33.0,Quận Đống Đa,nha_pho,8200000000,ban,8.2
45.0,Quận Thanh Xuân,nha_pho,7800000000,ban,7.8
32.0,Quận Hai Bà Trưng,nha_pho,2800000000,ban,2.8
158.0,Quận Hoàng Mai,nha_pho,7000000000,ban,7.0
30.0,Quận Hai Bà Trưng,nha_pho,6300000000,ban,6.3
44.0,Quận Cầu Giấy,nha_pho,18900000000,ban,18.9
43.0,Quận Thanh Xuân,nha_pho,7800000000,ban,7.8
30.0,Quận Hai Bà Trưng,nha_pho,5800000000,ban,5.8
45.0,Quận Thanh Xuân,nha_pho,17500000000,ban,17.5
38.0,Quận Nam Từ Liêm,nha_pho,6500000000,ban,6.5
47.0,Quận Hai Bà Trưng,nha_pho,9900000000,ban,9.9
360.0,Huyện Đông Anh,dat,13000000000,ban,13.0
21.0,Quận Hai Bà Trưng,nha_pho,6000000000,ban,6.0
35.0,Quận Hoàng Mai,nha_pho,6800000000,ban,6.8
31.0,Huyện Hoài Đức,nha_pho,3500000000,ban,3.5
52.0,Quận Hai Bà Trưng,nha_pho,9560000000,ban,9.56
52.0,Quận Long Biên,nha_pho,7000000000,ban,7.0
50.0,Huyện Gia Lâm,nha_pho,10900000000,ban,10.9
62.0,Quận Hai Bà Trưng,nha_pho,14400000000,ban,14.4
32.0,Quận Thanh Xuân,nha_pho,7000000000,ban,7.0
105.0,Quận Long Biên,nha_pho,11000000000,ban,11.0
33.0,Quận Đống Đa,nha_pho,8000000000,ban,8.0
130.0,Quận Hai Bà Trưng,nha_pho,59000000000,ban,59.0
35.0,Quận Hai Bà Trưng,nha_pho,10800000000,ban,10.8
19.0,Quận Đống Đa,nha_pho,3950000000,ban,3.95
47.0,Quận Hà Đông,nha_pho,12690000000,ban,12.69
42.0,Quận Cầu Giấy,nha_pho,16500000000,ban,16.5
35.0,Quận Hai Bà Trưng,nha_pho,8500000000,ban,8.5
45.0,Quận Nam Từ Liêm,nha_pho,8800000000,ban,8.8
30.0,Quận Nam Từ Liêm,nha_pho,6800000000,ban,6.8
32.0,Quận Bắc Từ Liêm,nha_pho,8280000000,ban,8.28
100.0,Quận Đống Đa,nha_pho,32000000000,ban,32.0
90.0,Quận Đống Đa,nha_pho,7320000000,ban,7.32
57.0,Quận Hai Bà Trưng,nha_pho,13800000000,ban,13.8
48.0,Quận Hai Bà Trưng,nha_pho,9890000000,ban,9.89
135.0,Quận Hoàn Kiếm,nha_pho,438000000000,ban,438.0
54.0,Quận Hà Đông,nha_pho,5900000000,ban,5.9
50.0,Quận Bắc Từ Liêm,nha_pho,7000000000,ban,7.0
30.0,Quận Tây Hồ,nha_pho,7300000000,ban,7.3
44.5,Quận Cầu Giấy,nha_pho,8250000000,ban,8.25
25.0,Quận Thanh Xuân,nha_pho,13900000000,ban,13.9
45.0,Quận Hai Bà Trưng,nha_pho,13900000000,ban,13.9
34.0,Quận Bắc Từ Liêm,nha_pho,4200000000,ban,4.2
42.0,Huyện Hoài Đức,nha_pho,4700000000,ban,4.7
15.0,Quận Đống Đa,nha_pho,3950000000,ban,3.95
30.0,Quận Thanh Xuân,nha_pho,3500000000,ban,3.5
71.0,Quận Nam Từ Liêm,nha_pho,19000000000,ban,19.0
40.0,Quận Long Biên,nha_pho,12300000000,ban,12.3
32.0,Quận Thanh Xuân,nha_pho,8150000000,ban,8.15
32.0,Quận Hai Bà Trưng,nha_pho,6900000000,ban,6.9
38.0,Quận Hoàng Mai,nha_pho,8550000000,ban,8.55
35.0,Huyện Thanh Trì,nha_pho,8400000000,ban,8.4
30.0,Quận Hai Bà Trưng,nha_pho,6700000000,ban,6.7
40.0,Quận Hoàng Mai,nha_pho,8600000000,ban,8.6
20.0,Quận Thanh Xuân,nha_pho,9850000000,ban,9.85
30.0,Quận Hai Bà Trưng,nha_pho,6150000000,ban,6.15
30.0,Quận Hà Đông,nha_pho,4200000000,ban,4.2
35.0,Quận Hà Đông,nha_pho,7000000000,ban,7.0
26.0,Quận Hai Bà Trưng,nha_pho,6500000000,ban,6.5
22.0,Quận Hai Bà Trưng,nha_pho,6380000000,ban,6.38
30.5,Quận Hà Đông,nha_pho,6500000000,ban,6.5
31.0,Quận Hà Đông,nha_pho,7000000000,ban,7.0
65.0,Quận Long Biên,nha_pho,8800000000,ban,8.8
38.0,Quận Long Biên,nha_pho,6600000000,ban,6.6
60.0,Quận Hai Bà Trưng,nha_pho,29000000000,ban,29.0
